year,EG.USE.ELEC.KH.PC
2023,112.555828390227
2022,95.6499437604969
2021,83.8801247645011
2020,93.3839345037291
2019,92.3124380650632
2018,91.919211356599
2017,80.8177660045461
2016,81.1483241249976
2015,73.8443396941679
2014,65.4795041042624
2013,65.1369499801963
2012,55.2407944874698
2011,47.8261023594533
2010,42.6558801263294
2009,37.3490318499181
2008,38.4949590891987
2007,38.4100654009579
2006,36.4544333832403
2005,32.6666153698722
2004,30.0352775836694
2003,27.9821953597962
2002,25.6855827535941
2001,26.0621431439971
2000,22.3552381141412
1999,22.6387753487171
1998,23.4835423610593
1997,23.6627458435931
1996,24.265299940043
1995,23.88014669084
1994,23.4843478799388
1993,23.1805195903226
1992,21.5413555359847
1991,21.8837755096335
1990,22.7264349501483
